日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,date,品种
2017-02-22,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.93,,-0.09,,,,,2017-02-22,中证交易所绿色债券指数
2017-02-23,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.9,,-0.04,,,,,2017-02-23,中证交易所绿色债券指数
2017-02-24,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.99,,0.09,,,,,2017-02-24,中证交易所绿色债券指数
2017-02-27,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.02,,0.03,,,,,2017-02-27,中证交易所绿色债券指数
2017-02-28,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.03,,0.01,,,,,2017-02-28,中证交易所绿色债券指数
2017-03-01,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.01,,-0.02,,,,,2017-03-01,中证交易所绿色债券指数
2017-03-02,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.03,,0.01,,,,,2017-03-02,中证交易所绿色债券指数
2017-03-03,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.05,,0.03,,,,,2017-03-03,中证交易所绿色债券指数
2017-03-06,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.02,,-0.04,,,,,2017-03-06,中证交易所绿色债券指数
2017-03-07,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.0,,-0.01,,,,,2017-03-07,中证交易所绿色债券指数
2017-03-08,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.95,,-0.05,,,,,2017-03-08,中证交易所绿色债券指数
2017-03-09,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.9,,-0.05,,,,,2017-03-09,中证交易所绿色债券指数
2017-03-10,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.77,,-0.13,,,,,2017-03-10,中证交易所绿色债券指数
2017-03-13,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.73,,-0.03,,,,,2017-03-13,中证交易所绿色债券指数
2017-03-14,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.69,,-0.05,,,,,2017-03-14,中证交易所绿色债券指数
2017-03-15,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.69,,0.01,,,,,2017-03-15,中证交易所绿色债券指数
2017-03-16,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.88,,0.19,,,,,2017-03-16,中证交易所绿色债券指数
2017-03-17,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.88,,0.0,,,,,2017-03-17,中证交易所绿色债券指数
2017-03-20,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.81,,-0.07,,,,,2017-03-20,中证交易所绿色债券指数
2017-03-21,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.77,,-0.04,,,,,2017-03-21,中证交易所绿色债券指数
2017-03-22,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.79,,0.02,,,,,2017-03-22,中证交易所绿色债券指数
2017-03-23,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.67,,-0.12,,,,,2017-03-23,中证交易所绿色债券指数
2017-03-24,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.73,,0.06,,,,,2017-03-24,中证交易所绿色债券指数
2017-03-27,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.85,,0.12,,,,,2017-03-27,中证交易所绿色债券指数
2017-03-28,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.91,,0.07,,,,,2017-03-28,中证交易所绿色债券指数
2017-03-29,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.91,,0.0,,,,,2017-03-29,中证交易所绿色债券指数
2017-03-30,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.91,,0.0,,,,,2017-03-30,中证交易所绿色债券指数
2017-03-31,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.95,,0.04,,,,,2017-03-31,中证交易所绿色债券指数
2017-04-05,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.99,,0.05,,,,,2017-04-05,中证交易所绿色债券指数
2017-04-06,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.99,,0.0,,,,,2017-04-06,中证交易所绿色债券指数
2017-04-07,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.03,,0.04,,,,,2017-04-07,中证交易所绿色债券指数
2017-04-10,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.13,,0.1,,,,,2017-04-10,中证交易所绿色债券指数
2017-04-11,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.15,,0.02,,,,,2017-04-11,中证交易所绿色债券指数
2017-04-12,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.14,,-0.01,,,,,2017-04-12,中证交易所绿色债券指数
2017-04-13,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.15,,0.01,,,,,2017-04-13,中证交易所绿色债券指数
2017-04-14,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.14,,-0.02,,,,,2017-04-14,中证交易所绿色债券指数
2017-04-17,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.09,,-0.04,,,,,2017-04-17,中证交易所绿色债券指数
2017-04-18,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.97,,-0.13,,,,,2017-04-18,中证交易所绿色债券指数
2017-04-19,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.93,,-0.04,,,,,2017-04-19,中证交易所绿色债券指数
2017-04-20,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.82,,-0.11,,,,,2017-04-20,中证交易所绿色债券指数
2017-04-21,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.76,,-0.06,,,,,2017-04-21,中证交易所绿色债券指数
2017-04-24,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.65,,-0.11,,,,,2017-04-24,中证交易所绿色债券指数
2017-04-25,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.51,,-0.14,,,,,2017-04-25,中证交易所绿色债券指数
2017-04-26,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.44,,-0.07,,,,,2017-04-26,中证交易所绿色债券指数
2017-04-27,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.4,,-0.04,,,,,2017-04-27,中证交易所绿色债券指数
2017-04-28,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.43,,0.03,,,,,2017-04-28,中证交易所绿色债券指数
2017-05-02,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.39,,-0.04,,,,,2017-05-02,中证交易所绿色债券指数
2017-05-03,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.31,,-0.08,,,,,2017-05-03,中证交易所绿色债券指数
2017-05-04,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.14,,-0.17,,,,,2017-05-04,中证交易所绿色债券指数
2017-05-05,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.14,,-0.01,,,,,2017-05-05,中证交易所绿色债券指数
2017-05-08,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.02,,-0.11,,,,,2017-05-08,中证交易所绿色债券指数
2017-05-09,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.89,,-0.14,,,,,2017-05-09,中证交易所绿色债券指数
2017-05-10,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.67,,-0.23,,,,,2017-05-10,中证交易所绿色债券指数
2017-05-11,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.46,,-0.21,,,,,2017-05-11,中证交易所绿色债券指数
2017-05-12,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.46,,-0.01,,,,,2017-05-12,中证交易所绿色债券指数
2017-05-15,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.46,,0.01,,,,,2017-05-15,中证交易所绿色债券指数
2017-05-16,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.35,,-0.12,,,,,2017-05-16,中证交易所绿色债券指数
2017-05-17,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.29,,-0.06,,,,,2017-05-17,中证交易所绿色债券指数
2017-05-18,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.32,,0.03,,,,,2017-05-18,中证交易所绿色债券指数
2017-05-19,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.32,,0.0,,,,,2017-05-19,中证交易所绿色债券指数
2017-05-22,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.37,,0.05,,,,,2017-05-22,中证交易所绿色债券指数
2017-05-23,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.39,,0.02,,,,,2017-05-23,中证交易所绿色债券指数
2017-05-24,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.4,,0.01,,,,,2017-05-24,中证交易所绿色债券指数
2017-05-25,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.41,,0.02,,,,,2017-05-25,中证交易所绿色债券指数
2017-05-26,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.47,,0.06,,,,,2017-05-26,中证交易所绿色债券指数
2017-05-31,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.58,,0.11,,,,,2017-05-31,中证交易所绿色债券指数
2017-06-01,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.6,,0.02,,,,,2017-06-01,中证交易所绿色债券指数
2017-06-02,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.61,,0.01,,,,,2017-06-02,中证交易所绿色债券指数
2017-06-05,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.63,,0.02,,,,,2017-06-05,中证交易所绿色债券指数
2017-06-06,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.67,,0.04,,,,,2017-06-06,中证交易所绿色债券指数
2017-06-07,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.72,,0.06,,,,,2017-06-07,中证交易所绿色债券指数
2017-06-08,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.75,,0.02,,,,,2017-06-08,中证交易所绿色债券指数
2017-06-09,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.84,,0.1,,,,,2017-06-09,中证交易所绿色债券指数
2017-06-12,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,97.94,,0.11,,,,,2017-06-12,中证交易所绿色债券指数
2017-06-13,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.05,,0.11,,,,,2017-06-13,中证交易所绿色债券指数
2017-06-14,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.19,,0.15,,,,,2017-06-14,中证交易所绿色债券指数
2017-06-15,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.31,,0.12,,,,,2017-06-15,中证交易所绿色债券指数
2017-06-16,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.39,,0.08,,,,,2017-06-16,中证交易所绿色债券指数
2017-06-19,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.54,0.15,0.16,0.17,0.17,24.0,,2017-06-19,中证交易所绿色债券指数
2017-06-20,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.7,0.16,0.16,1.2,1.13,24.0,,2017-06-20,中证交易所绿色债券指数
2017-06-21,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.76,0.06,0.06,0.0,0.0,24.0,,2017-06-21,中证交易所绿色债券指数
2017-06-22,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.82,0.06,0.06,1.1,1.04,24.0,,2017-06-22,中证交易所绿色债券指数
2017-06-23,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.85,0.04,0.04,0.0,0.0,24.0,,2017-06-23,中证交易所绿色债券指数
2017-06-26,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,98.91,0.06,0.06,0.0,0.0,24.0,,2017-06-26,中证交易所绿色债券指数
2017-06-27,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.09,0.17,0.17,1.31,1.24,24.0,,2017-06-27,中证交易所绿色债券指数
2017-06-28,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.1,0.02,0.02,0.76,0.72,24.0,,2017-06-28,中证交易所绿色债券指数
2017-06-29,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.21,0.11,0.11,0.0,0.0,24.0,,2017-06-29,中证交易所绿色债券指数
2017-06-30,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.25,0.04,0.04,0.05,0.05,24.0,,2017-06-30,中证交易所绿色债券指数
2017-07-03,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.28,0.03,0.03,0.0,0.0,26.0,,2017-07-03,中证交易所绿色债券指数
2017-07-04,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.3,0.01,0.01,0.24,0.24,26.0,,2017-07-04,中证交易所绿色债券指数
2017-07-05,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.31,0.01,0.01,0.36,0.35,26.0,,2017-07-05,中证交易所绿色债券指数
2017-07-06,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.4,0.09,0.09,0.0,0.0,26.0,,2017-07-06,中证交易所绿色债券指数
2017-07-07,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.46,0.07,0.07,0.0,0.0,26.0,,2017-07-07,中证交易所绿色债券指数
2017-07-10,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.53,0.07,0.07,2.61,2.53,26.0,,2017-07-10,中证交易所绿色债券指数
2017-07-11,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.54,0.01,0.01,0.7,0.69,26.0,,2017-07-11,中证交易所绿色债券指数
2017-07-12,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.58,0.04,0.04,1.75,1.7,26.0,,2017-07-12,中证交易所绿色债券指数
2017-07-13,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.58,0.0,0.0,1.15,1.12,26.0,,2017-07-13,中证交易所绿色债券指数
2017-07-14,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.55,-0.03,-0.03,0.0,0.0,26.0,,2017-07-14,中证交易所绿色债券指数
2017-07-17,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.65,0.1,0.1,0.0,0.0,26.0,,2017-07-17,中证交易所绿色债券指数
2017-07-18,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.62,-0.04,-0.04,1.8,1.71,26.0,,2017-07-18,中证交易所绿色债券指数
2017-07-19,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.63,0.01,0.01,0.73,0.69,26.0,,2017-07-19,中证交易所绿色债券指数
2017-07-20,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.65,0.03,0.03,0.06,0.06,26.0,,2017-07-20,中证交易所绿色债券指数
2017-07-21,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.65,-0.01,-0.01,0.6,0.58,26.0,,2017-07-21,中证交易所绿色债券指数
2017-07-24,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.64,-0.01,-0.01,0.8,0.77,26.0,,2017-07-24,中证交易所绿色债券指数
2017-07-25,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.71,0.07,0.07,2.2,2.11,26.0,,2017-07-25,中证交易所绿色债券指数
2017-07-26,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.68,-0.03,-0.03,0.0,0.0,26.0,,2017-07-26,中证交易所绿色债券指数
2017-07-27,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.7,0.03,0.03,0.4,0.38,26.0,,2017-07-27,中证交易所绿色债券指数
2017-07-28,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.74,0.04,0.04,0.4,0.38,26.0,,2017-07-28,中证交易所绿色债券指数
2017-07-31,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.78,0.05,0.05,0.4,0.39,26.0,,2017-07-31,中证交易所绿色债券指数
2017-08-01,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.79,0.0,0.0,1.0,1.0,27.0,,2017-08-01,中证交易所绿色债券指数
2017-08-02,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.79,0.01,0.01,0.0,0.0,27.0,,2017-08-02,中证交易所绿色债券指数
2017-08-03,930951,中证交易所绿色债券指数,交易所绿色债,CSI Exchange Green Bond Index,Exchange Green Bond,,,,99.8,0.01,0.01,2.0,1.93,27.0,,2017-08-03,中证交易所绿色债券指数
